MODIFIED IATA,MODIFIED NAME,MODIFIED CITY,MODIFIED STATE,MODIFIED COUNTRY,MODIFIED LATITUDE,MODIFIED LONGITUDE
MODIFIED 00M,MODIFIED THIGPEN,MODIFIED BAY SPRINGS,MODIFIED MS,MODIFIED USA,MODIFIED 31.95376472,MODIFIED -89.23450472
MODIFIED 00R,MODIFIED LIVINGSTON MUNICIPAL,MODIFIED LIVINGSTON,MODIFIED TX,MODIFIED USA,MODIFIED 30.68586111,MODIFIED -95.01792778
MODIFIED 00V,MODIFIED MEADOW LAKE,MODIFIED COLORADO SPRINGS,MODIFIED CO,MODIFIED USA,MODIFIED 38.94574889,MODIFIED -104.5698933
MODIFIED 01G,MODIFIED PERRY-WARSAW,MODIFIED PERRY,MODIFIED NY,MODIFIED USA,MODIFIED 42.74134667,MODIFIED -78.05208056
MODIFIED 01J,MODIFIED HILLIARD AIRPARK,MODIFIED HILLIARD,MODIFIED FL,MODIFIED USA,MODIFIED 30.6880125,MODIFIED -81.90594389
MODIFIED 01M,MODIFIED TISHOMINGO COUNTY,MODIFIED BELMONT,MODIFIED MS,MODIFIED USA,MODIFIED 34.49166667,MODIFIED -88.20111111
MODIFIED 02A,MODIFIED GRAGG-WADE,MODIFIED CLANTON,MODIFIED AL,MODIFIED USA,MODIFIED 32.85048667,MODIFIED -86.61145333
MODIFIED 02C,MODIFIED CAPITOL,MODIFIED BROOKFIELD,MODIFIED WI,MODIFIED USA,MODIFIED 43.08751,MODIFIED -88.17786917
MODIFIED 02G,MODIFIED COLUMBIANA COUNTY,MODIFIED EAST LIVERPOOL,MODIFIED OH,MODIFIED USA,MODIFIED 40.67331278,MODIFIED -80.64140639
MODIFIED 03D,MODIFIED MEMPHIS MEMORIAL,MODIFIED MEMPHIS,MODIFIED MO,MODIFIED USA,MODIFIED 40.44725889,MODIFIED -92.22696056
MODIFIED 04M,MODIFIED CALHOUN COUNTY,MODIFIED PITTSBORO,MODIFIED MS,MODIFIED USA,MODIFIED 33.93011222,MODIFIED -89.34285194
MODIFIED 04Y,MODIFIED HAWLEY MUNICIPAL,MODIFIED HAWLEY,MODIFIED MN,MODIFIED USA,MODIFIED 46.88384889,MODIFIED -96.35089861
MODIFIED 05C,MODIFIED GRIFFITH-MERRILLVILLE,MODIFIED GRIFFITH,MODIFIED IN,MODIFIED USA,MODIFIED 41.51961917,MODIFIED -87.40109333
MODIFIED 05F,MODIFIED GATESVILLE - CITY/COUNTY,MODIFIED GATESVILLE,MODIFIED TX,MODIFIED USA,MODIFIED 31.42127556,MODIFIED -97.79696778
MODIFIED 05U,MODIFIED EUREKA,MODIFIED EUREKA,MODIFIED NV,MODIFIED USA,MODIFIED 39.60416667,MODIFIED -116.0050597
MODIFIED 06A,MODIFIED MOTON  MUNICIPAL,MODIFIED TUSKEGEE,MODIFIED AL,MODIFIED USA,MODIFIED 32.46047167,MODIFIED -85.68003611
MODIFIED 06C,MODIFIED SCHAUMBURG,MODIFIED CHICAGO/SCHAUMBURG,MODIFIED IL,MODIFIED USA,MODIFIED 41.98934083,MODIFIED -88.10124278
MODIFIED 06D,MODIFIED ROLLA MUNICIPAL,MODIFIED ROLLA,MODIFIED ND,MODIFIED USA,MODIFIED 48.88434111,MODIFIED -99.62087694
MODIFIED 06M,MODIFIED EUPORA MUNICIPAL,MODIFIED EUPORA,MODIFIED MS,MODIFIED USA,MODIFIED 33.53456583,MODIFIED -89.31256917
MODIFIED 06N,MODIFIED RANDALL,MODIFIED MIDDLETOWN,MODIFIED NY,MODIFIED USA,MODIFIED 41.43156583,MODIFIED -74.39191722
MODIFIED 06U,MODIFIED JACKPOT/HAYDEN,MODIFIED JACKPOT,MODIFIED NV,MODIFIED USA,MODIFIED 41.97602222,MODIFIED -114.6580911
MODIFIED 07C,MODIFIED DEKALB COUNTY,MODIFIED AUBURN,MODIFIED IN,MODIFIED USA,MODIFIED 41.30716667,MODIFIED -85.06433333
MODIFIED 07F,MODIFIED GLADEWATER MUNICIPAL,MODIFIED GLADEWATER,MODIFIED TX,MODIFIED USA,MODIFIED 32.52883861,MODIFIED -94.97174556
MODIFIED 07G,MODIFIED FITCH H BEACH,MODIFIED CHARLOTTE,MODIFIED MI,MODIFIED USA,MODIFIED 42.57450861,MODIFIED -84.81143139
MODIFIED 07K,MODIFIED CENTRAL CITY MUNICIPAL,MODIFIED CENTRAL CITY,MODIFIED NE,MODIFIED USA,MODIFIED 41.11668056,MODIFIED -98.05033639
MODIFIED 08A,MODIFIED WETUMPKA MUNICIPAL,MODIFIED WETUMPKA,MODIFIED AL,MODIFIED USA,MODIFIED 32.52943944,MODIFIED -86.32822139
MODIFIED 08D,MODIFIED STANLEY MUNICIPAL,MODIFIED STANLEY,MODIFIED ND,MODIFIED USA,MODIFIED 48.30079861,MODIFIED -102.4063514
MODIFIED 08K,MODIFIED HARVARD STATE,MODIFIED HARVARD,MODIFIED NE,MODIFIED USA,MODIFIED 40.65138528,MODIFIED -98.07978667
