Modified iata,Modified name,Modified city,Modified state,Modified country,Modified latitude,Modified longitude
Modified 00M,Modified Thigpen,Modified Bay Springs,Modified MS,Modified USA,Modified 31.95376472,Modified -89.23450472
Modified 00R,Modified Livingston Municipal,Modified Livingston,Modified TX,Modified USA,Modified 30.68586111,Modified -95.01792778
Modified 00V,Modified Meadow Lake,Modified Colorado Springs,Modified CO,Modified USA,Modified 38.94574889,Modified -104.5698933
Modified 01G,Modified Perry-Warsaw,Modified Perry,Modified NY,Modified USA,Modified 42.74134667,Modified -78.05208056
Modified 01J,Modified Hilliard Airpark,Modified Hilliard,Modified FL,Modified USA,Modified 30.6880125,Modified -81.90594389
Modified 01M,Modified Tishomingo County,Modified Belmont,Modified MS,Modified USA,Modified 34.49166667,Modified -88.20111111
Modified 02A,Modified Gragg-Wade,Modified Clanton,Modified AL,Modified USA,Modified 32.85048667,Modified -86.61145333
Modified 02C,Modified Capitol,Modified Brookfield,Modified WI,Modified USA,Modified 43.08751,Modified -88.17786917
Modified 02G,Modified Columbiana County,Modified East Liverpool,Modified OH,Modified USA,Modified 40.67331278,Modified -80.64140639
Modified 03D,Modified Memphis Memorial,Modified Memphis,Modified MO,Modified USA,Modified 40.44725889,Modified -92.22696056
Modified 04M,Modified Calhoun County,Modified Pittsboro,Modified MS,Modified USA,Modified 33.93011222,Modified -89.34285194
Modified 04Y,Modified Hawley Municipal,Modified Hawley,Modified MN,Modified USA,Modified 46.88384889,Modified -96.35089861
Modified 05C,Modified Griffith-Merrillville,Modified Griffith,Modified IN,Modified USA,Modified 41.51961917,Modified -87.40109333
Modified 05F,Modified Gatesville - City/County,Modified Gatesville,Modified TX,Modified USA,Modified 31.42127556,Modified -97.79696778
Modified 05U,Modified Eureka,Modified Eureka,Modified NV,Modified USA,Modified 39.60416667,Modified -116.0050597
Modified 06A,Modified Moton  Municipal,Modified Tuskegee,Modified AL,Modified USA,Modified 32.46047167,Modified -85.68003611
Modified 06C,Modified Schaumburg,Modified Chicago/Schaumburg,Modified IL,Modified USA,Modified 41.98934083,Modified -88.10124278
Modified 06D,Modified Rolla Municipal,Modified Rolla,Modified ND,Modified USA,Modified 48.88434111,Modified -99.62087694
Modified 06M,Modified Eupora Municipal,Modified Eupora,Modified MS,Modified USA,Modified 33.53456583,Modified -89.31256917
Modified 06N,Modified Randall,Modified Middletown,Modified NY,Modified USA,Modified 41.43156583,Modified -74.39191722
Modified 06U,Modified Jackpot/Hayden,Modified Jackpot,Modified NV,Modified USA,Modified 41.97602222,Modified -114.6580911
Modified 07C,Modified Dekalb County,Modified Auburn,Modified IN,Modified USA,Modified 41.30716667,Modified -85.06433333
Modified 07F,Modified Gladewater Municipal,Modified Gladewater,Modified TX,Modified USA,Modified 32.52883861,Modified -94.97174556
Modified 07G,Modified Fitch H Beach,Modified Charlotte,Modified MI,Modified USA,Modified 42.57450861,Modified -84.81143139
Modified 07K,Modified Central City Municipal,Modified Central City,Modified NE,Modified USA,Modified 41.11668056,Modified -98.05033639
Modified 08A,Modified Wetumpka Municipal,Modified Wetumpka,Modified AL,Modified USA,Modified 32.52943944,Modified -86.32822139
Modified 08D,Modified Stanley Municipal,Modified Stanley,Modified ND,Modified USA,Modified 48.30079861,Modified -102.4063514
Modified 08K,Modified Harvard State,Modified Harvard,Modified NE,Modified USA,Modified 40.65138528,Modified -98.07978667
Modified 08M,Modified Carthage-Leake County,Modified Carthage,Modified MS,Modified USA,Modified 32.76124611,Modified -89.53007139
Modified 09A,Modified Butler-Choctaw County,Modified Butler,Modified AL,Modified USA,Modified 32.11931306,Modified -88.1274625
Modified 09J,Modified Jekyll Island,Modified Jekyll Island,Modified GA,Modified USA,Modified 31.07447222,Modified -81.42777778
Modified 09K,Modified Sargent Municipal,Modified Sargent,Modified NE,Modified USA,Modified 41.63695083,Modified -99.34038139
Modified 09M,Modified Charleston Municipal,Modified Charleston,Modified MS,Modified USA,Modified 33.99150222,Modified -90.078145
Modified 09W,Modified South Capitol Street,Modified Washington,Modified DC,Modified USA,Modified 38.86872333,Modified -77.00747583
Modified 0A3,Modified Smithville Municipal,Modified Smithville,Modified TN,Modified USA,Modified 35.98531194,Modified -85.80931806
Modified 0A8,Modified Bibb County,Modified Centreville,Modified AL,Modified USA,Modified 32.93679056,Modified -87.08888306
Modified 0A9,Modified Elizabethton Municipal,Modified Elizabethton,Modified TN,Modified USA,Modified 36.37094306,Modified -82.17374111
Modified 0AK,Modified Pilot Station,Modified Pilot Station,Modified AK,Modified USA,Modified 61.93396417,Modified -162.8929358
Modified 0B1,Modified Col. Dyke,Modified Bethel,Modified ME,Modified USA,Modified 44.42506444,Modified -70.80784778
Modified 0B4,Modified Hartington Municipal,Modified Hartington,Modified NE,Modified USA,Modified 42.60355556,Modified -97.25263889
Modified 0B5,Modified Turners Falls,Modified Montague,Modified MA,Modified USA,Modified 42.59136361,Modified -72.52275472
Modified 0B7,Modified Warren-Sugar Bush,Modified Warren,Modified VT,Modified USA,Modified 44.11672722,Modified -72.82705806
